Title,URL,Date & Time,Location,Category,Organizer,Source
View Adelaide's Biggest Deepavali Festival -2025 by HCA,https://www.eventbrite.com.au/e/adelaides-biggest-deepavali-festival-2025-by-hca-tickets-1445383012499?aff=ebdssbdestsearch,"Date and time
Saturday, October 4 · 12 - 10pm ACST","Location
Adelaide Showground
Goodwood Rd Wayville, SA 5034
Get directions",,Hindu Council of Australia - SA,Eventbrite
View MARKSENFEST 2025,https://www.eventbrite.com.au/e/marksenfest-2025-tickets-1560897148389?aff=ebdssbdestsearch,"Date and time
Sat, 11 Oct 2025 12:00 PM - 6:00 PM ACDT","Location
St Mark's College, Adelaide
46 Pennington Terrace Adelaide, SA 5006
Get directions",,St Marks College Club,Eventbrite
"View UniSA Graduation Ceremony, 3:30PM Tuesday 30 September 2025",https://www.eventbrite.com.au/e/unisa-graduation-ceremony-330pm-tuesday-30-september-2025-tickets-1376880670149?aff=ebdssbdestsearch,"Date and time
Starts on Tue, 30 Sep 2025 3:30 PM ACST","Location
Pridham Hall
Hindley Street, City West Campus Adelaide, SA 5000
Get directions",,University of South Australia Graduations,Eventbrite
"View UniSA Graduation Ceremony, 9:30AM Wednesday 1 October 2025",https://www.eventbrite.com.au/e/unisa-graduation-ceremony-930am-wednesday-1-october-2025-tickets-1376906286769?aff=ebdssbdestsearch,"Date and time
Starts on Wed, 1 Oct 2025 9:30 AM ACST","Location
Pridham Hall
Hindley Street, City West Campus Adelaide, SA 5000
Get directions",,University of South Australia Graduations,Eventbrite
View Farewell Travis Boak - Farewell a Port great at Highway Hotel!,https://www.eventbrite.com.au/e/farewell-travis-boak-farewell-a-port-great-at-highway-hotel-tickets-1586137563149?aff=ebdssbdestsearch,"Date and time
Friday, October 3 · 7 - 10pm ACST","Location
The Highway
290 Anzac Highway Plympton, SA 5038
Get directions",,Authentic Autographs & Anthem Sport,Eventbrite
View Author Talk - The Soldier's Daughter - Fiona McIntosh (BL),https://www.eventbrite.com.au/e/author-talk-the-soldiers-daughter-fiona-mcintosh-bl-tickets-1482281286229?aff=ebdssbdestsearch,"Date and time
Friday, October 3 · 6:30 - 8:30pm ACST","Location
The Regal Theatre
275 Kensington Road Kensington Park, SA 5068
Get directions",,Burnside Library,Eventbrite
View Fresh 92.7 WINDBACK PARTY 2025,https://www.eventbrite.com.au/e/fresh-927-windback-party-2025-tickets-1599463060069?aff=ebdssbdestsearch,"Date and time
Starts on Friday, October 10 · 6pm ACDT","Location
Zhivago
54 Currie Street Adelaide, SA 5000
Get directions",,Fresh 92.7,Eventbrite
View Olive Festival,https://www.eventbrite.com/e/olive-festival-tickets-1250795185069?aff=ebdssbdestsearch,"Date and time
Sunday, October 12 · 11am - 3pm ACDT","Location
Beaumont House
631 Glynburn Road Beaumont, SA 5066
Get directions",,National Trust of SA,Eventbrite
View Taste of the Best 2025 – Royal Adelaide Wine Show Public Tasting,https://www.eventbrite.com.au/e/taste-of-the-best-2025-royal-adelaide-wine-show-public-tasting-tickets-1344949021729?aff=ebdssbdestsearch,"Date and time
Fri, 10 Oct 2025 6:00 PM - 9:30 PM ACDT","Location
Adelaide Showground
Wayville Pavilion Rose Terrace Wayville, SA 5034
Get directions",,Royal Agricultural & Horticultural Society of SA,Eventbrite
View REVIVAL POWER - CRC Conference 2025,https://www.eventbrite.com.au/e/revival-power-crc-conference-2025-tickets-1290858274849?aff=ebdssbdestsearch,"Date and time
Mon, 29 Sep 2025 7:00 PM - Thu, 2 Oct 2025 9:30 PM ACST","Location
Christian Family Centre
185 Frederick Road Seaton, SA 5023
Get directions",,CRC Churches International,Eventbrite
View Step into Spring @ 2kw,https://www.eventbrite.com.au/e/step-into-spring-2kw-tickets-1541410031899?aff=ebdssbdestsearch,"Date and time
Starts on Sunday, October 5 · 1pm ACDT","Location
2KW Bar & Restaurant
2 King William Street Adelaide, SA 5000
Get directions",,Wines and Good Times,Eventbrite
